number,masked_number,pattern
07466660040,074-66--66-004*,2Same2digitRepeats
07466666208,074-66--66-620*,2Same2digitRepeats
07741535553,07741-53-5*-53-,2Unique2digitRepeats
07448224455,07-44-822-44-5*,2Same2digitRepeats
07459447766,0745*-447766-,pairs
07503330044,0750*-330044-,pairs
07459333459,07-459-33*-459-,2Unique3digitRepeats
07424779933,0742*-779933-,pairs
07881313133,0788-13--13--13-*,3Unique2digitRepeats
07440662288,0744*-662288-,pairs
07448747478,0-74-48-74--74-7*,3Unique2digitRepeats
07448774488,0-7448-7-7448-*,2Unique4digitRepeats
07459772244,0745*-772244-,pairs
07424114466,0742*-114466-,pairs
07459335333,07459-33-5-*3-3,2Same2digitRepeats
07586119900,0758*-119900-,pairs
07342772266,0734*-772266-,pairs
07448554466,07-44-855-44-6*,2Same2digitRepeats
07404660099,0740*-660099-,pairs
07405225588,0740*-225588-,pairs
07448117799,0744*-117799-,pairs
07983133131,0798-313--313-*,2Unique3digitRepeats
07393050605,07393-05-0*-05-,2Unique2digitRepeats
07979003399,0-79--79-00339*,2Unique2digitRepeats
07424996688,0742*-996688-,pairs
07459550022,0745*-550022-,pairs
07904353533,07904-35--35-3*,2Unique2digitRepeats
07405775599,0740*-775599-,pairs
07440770055,-07-44-07-7005*,2Unique2digitRepeats
07424116611,07424-11-6*-11-,2Same2digitRepeats
07405662266,07405-66-2*-66-,2Same2digitRepeats
07584564567,0758-456--456-*,2Unique3digitRepeats
07405883322,0740*-883322-,pairs
07392441155,0739*-441155-,pairs
07438992233,0743*-992233-,pairs
07448119944,07-44-8119*-44-,2Same2digitRepeats
07448778844,07-44-8778*-44-,2Same2digitRepeats
07466441177,074-664411-7*,pairs
07471565655,07471-56--56-5*,2Unique2digitRepeats
07459747477,0-74-59-74--74-7*,3Unique2digitRepeats
07459799979,0745-979-*-979-,2Unique3digitRepeats
07404668811,0740*-668811-,pairs
07399434344,07399-43--43-4*,2Unique2digitRepeats
07392535355,07392-53--53-5*,2Unique2digitRepeats
07438225588,0743*-225588-,pairs
07459559933,074-59-5-59-93*,2Unique2digitRepeats
07424113388,0742*-113388-,pairs
07440559944,07-44-0559*-44-,2Same2digitRepeats
07503558855,07503-55-8*-55-,2Same2digitRepeats
07404779966,0740*-779966-,pairs
07405888989,074058*-89--89-,2Unique2digitRepeats
07404882266,0740*-882266-,pairs
07404229966,0740*-229966-,pairs
07448330033,07448-33-0*-33-,2Same2digitRepeats
07424990666,07424990666,No match!
07503330066,0750*-330066-,pairs
07448661144,07-44-8661*-44-,2Same2digitRepeats
07448331188,0744*-331188-,pairs
07438887711,0743*-887711-,pairs
07440669900,0744*-669900-,pairs
07448505448,07-448-50*-448-,2Unique3digitRepeats
07466997722,074-669977-2*,pairs
07404669900,0740*-669900-,pairs
07424886611,0742*-886611-,pairs
07459667744,0-74-59667-74-*,2Unique2digitRepeats
07459557799,0745*-557799-,pairs
07466656655,0746-665--665-*,2Unique3digitRepeats
07404770011,0740*-770011-,pairs
07448774455,0-744-87-744-5*,2Unique3digitRepeats
07459881122,0745*-881122-,pairs
07404334477,0740*-334477-,pairs
07459221177,0745*-221177-,pairs
07448117788,0744*-117788-,pairs
07424770066,0742*-770066-,pairs
07466992299,07466-99-2*-99-,2Same2digitRepeats
07466660099,074-66--66-009*,2Same2digitRepeats
07448558833,0744*-558833-,pairs
07459559977,074-59-5-59-97*,2Unique2digitRepeats
07404997799,07404-99-7*-99-,2Same2digitRepeats
07448874448,0-744-88-744-4*,2Unique3digitRepeats
07404444627,0740-44--44-62*,2Same2digitRepeats
07438438692,07-438--438-69*,2Unique3digitRepeats
07931818931,07-931-81*-931-,2Unique3digitRepeats
07436436826,07-436--436-82*,2Unique3digitRepeats
07501501699,07-501--501-69*,2Unique3digitRepeats
07508388881,075083-88--88-*,2Same2digitRepeats
07500008411,075-00--00-841*,2Same2digitRepeats
07467727467,0-7467-7*-7467-,2Unique4digitRepeats
07958958762,07-958--958-76*,2Unique3digitRepeats
07852664333,07852664333,No match!
07436436905,07-436--436-90*,2Unique3digitRepeats
07467799994,074677-99--99-*,2Same2digitRepeats
07437777513,0743-77--77-51*,2Same2digitRepeats
07404444900,0740-44--44-90*,2Same2digitRepeats
07448656566,07448-65--65-6*,2Unique2digitRepeats
07459459637,07-459--459-63*,2Unique3digitRepeats
07448226000,07448226000,No match!
07424298424,07-424-29*-424-,2Unique3digitRepeats
07448318448,07-448-31*-448-,2Unique3digitRepeats
07818888376,0781-88--88-37*,2Same2digitRepeats
07438888967,0743-88--88-96*,2Same2digitRepeats
07741741813,07-741--741-81*,2Unique3digitRepeats
07448888628,0744-88--88-62*,2Same2digitRepeats
07459459547,07-459--459-54*,2Unique3digitRepeats
07417417698,0-741--741-769*,2Unique3digitRepeats
07459665565,074596-65-*-65-,2Unique2digitRepeats
07405555497,0740-55--55-49*,2Same2digitRepeats
07459111198,07459-11--11-9*,2Same2digitRepeats
07833337852,0-78-3333-78-5*,2Unique2digitRepeats
07438118333,07438118333,No match!
07826696996,07826-69--69-9*,2Unique2digitRepeats
07448000505,074480*-05--05-,2Unique2digitRepeats
07760537760,0-7760-5*-7760-,2Unique4digitRepeats
07466666237,074-66--66-623*,2Same2digitRepeats
07949999198,0794-99--99-19*,2Same2digitRepeats
07555587194,07-55--55-8719*,2Same2digitRepeats
07404999982,07404-99--99-8*,2Same2digitRepeats
07405026405,07-405-02*-405-,2Unique3digitRepeats
07881833383,07881-83-3*-83-,2Unique2digitRepeats
07466578466,07-466-57*-466-,2Unique3digitRepeats
07448557757,074485-57-*-57-,2Unique2digitRepeats
07467467354,0-746--746-735*,2Unique3digitRepeats
07466668630,074-66--66-863*,2Same2digitRepeats
07444479675,07-44--44-7967*,2Same2digitRepeats
07494577444,0-74-9457-74-4*,2Unique2digitRepeats
07459281459,07-459-28*-459-,2Unique3digitRepeats
07508508394,07-508--508-39*,2Unique3digitRepeats
07436436073,07-436--436-07*,2Unique3digitRepeats
07448777763,07448-77--77-6*,2Same2digitRepeats
07405222345,07405222345,No match!
07459427474,0-74-594*-74--74-,3Unique2digitRepeats
